对于“百”马王子，我木有什么兴趣。或许，#百环王子#（跑一百次环岛路）对我比较有吸引力。如果月跑量达到 400+，可以考虑 外地马拉松 /HK 100，否则免谈。

################一月份（月跑量：135.40 km）################
2013.01.01，跑量：13.00 km，配速：5'29"/km
2013.01.05，跑量：42.19 km，配速：6'09"/km
2013.01.07，跑量：10.01 km，配速：5'37"/km
2013.01.12，跑量：11.14 km，配速：5'50"/km
2013.01.19，跑量：16.01 km，配速：5'10"/km
2013.01.24，跑量：10.51 km，配速：5'57"/km
2013.01.26，跑量：16.29 km，配速：5'43"/km
2013.01.31，跑量：16.25 km，配速：5'20"/km

################二月份（月跑量：31.68 km）#################
2013.02.03，跑量：16.37 km，配速：5'43"/km
2013.02.23，跑量：15.31 km，配速：5'43"/km

################三月份（月跑量：127.36 km）################
2013.03.01，跑量：16.23 km，配速：5'33"/km
2013.03.03，跑量：16.27 km，配速：5'53"/km
2013.03.07，跑量：16.22 km，配速：5'31"/km
2013.03.10，跑量：16.03 km，配速：7'21"/km
2013.03.14，跑量：16.21 km，配速：5'12"/km
2013.03.16，跑量：16.36 km，配速：5'35"/km
2013.03.23，跑量：15.00 km，配速：5'43"/km
2013.03.31，跑量：15.04 km，配速：5'59"/km

################四月份（月跑量：169.05 km）################
2013.04.07，跑量：13.19 km，配速：6'10"/km
2013.04.11，跑量：16.72 km，配速：7'12"/km
2013.04.13，跑量：14.62 km，配速：6'58"/km
2013.04.17，跑量：14.76 km，配速：6'10"/km
2013.04.20，跑量：15.68 km，配速：6'51"/km
2013.04.23，跑量：13.01 km，配速：6'31"/km
2013.04.26，跑量：15.02 km，配速：5'21"/km
2013.04.28，跑量：15.05 km，配速：5'05"/km
2013.04.30，徒步环厦门岛，里程:51 km 13h30'


################五月份（月跑量：170.51 km）################
2013.05.03，跑量：15.27 km，配速：5'35"/km
2013.05.04，跑量：11.97 km，配速：6'11"/km
2013.05.07，跑量：16.29 km，配速：5'18"/km
2013.05.09，跑量：13.63 km，配速：5'16"/km
2013.05.11，跑量：12.79 km，配速：6'44"/km
2013.05.14，跑量：15.11 km，配速：5'36"/km
2013.05.17，跑量：15.36 km，配速：5'36"/km
2013.05.18，跑量：13.33 km，配速：5'54"/km
2013.05.23，跑量：13.14 km，配速：5'20"/km
